email_opens,website_visits,brochure_downloads,contact_attempts,home_age,home_size_sqft,current_heating_age,estimated_income,credit_score,heating_degree_days,electricity_rate,referral,previous_customer,homeowner,time_in_home,converted,conversion_probability,predicted_conversion,lead_priority
7,8,2,9,31,3930,25,121217,697,5364,0.1892735782909959,1,0,1,6,1,0.9999593473648466,1,High
11,6,6,8,26,3213,19,142946,731,4286,0.22597668655151,1,0,1,15,1,0.9999593473648466,1,High
6,8,4,4,40,2218,24,144647,735,6450,0.1601824135309622,1,0,1,18,1,0.9999593473648466,1,High
8,5,4,6,17,2544,25,145838,700,5409,0.1639259787971498,1,0,1,12,1,0.9999593473648466,1,High
8,5,3,4,33,3305,26,144482,686,6956,0.1913637263765175,1,0,1,9,1,0.9999593473648466,1,High
7,5,2,6,23,2716,26,115305,695,6430,0.2136879266820273,1,0,1,19,1,0.9999593473648466,1,High
10,6,3,4,32,3736,23,67913,661,5151,0.1917325415438655,1,0,1,18,1,0.9999593473648466,1,High
8,9,5,4,33,2909,21,140587,695,5769,0.1466606059389897,1,0,1,16,1,0.9999593473648466,1,High
9,8,5,5,20,3675,21,98243,690,5981,0.1287328019890423,1,0,1,14,1,0.9999593473648466,1,High
11,11,5,5,20,2588,27,143187,664,5273,0.139903325623844,1,0,1,19,1,0.9999593473648466,1,High
9,6,7,5,45,3676,22,93654,734,5051,0.1984149815299067,1,0,1,19,1,0.9999593473648466,1,High
9,7,3,7,22,3635,27,101845,740,5497,0.1369811579352655,1,1,1,15,1,0.9999593473648466,1,High
7,9,4,4,39,2507,17,126982,668,6966,0.2040636067575227,1,0,1,11,1,0.9999593473648466,1,High
11,8,2,4,49,1943,24,120973,721,5283,0.2149225489303879,1,0,1,11,1,0.9999593473648466,1,High
7,8,7,5,17,1743,19,135085,721,5762,0.1572326339714738,1,0,1,17,1,0.9999593473648466,1,High
8,5,3,5,35,2244,18,73727,665,6276,0.2399019979922269,1,0,1,15,1,0.9999593473648466,1,High
7,6,3,8,21,1659,29,142924,724,5185,0.1893004719002437,1,0,1,16,1,0.9999593473648466,1,High
8,6,6,6,27,2081,17,126899,701,5292,0.2313498390872305,1,0,1,17,1,0.9999593473648466,1,High
11,7,5,4,27,3845,26,118958,667,5865,0.1871916083198512,1,0,1,17,1,0.9999593473648466,1,High
11,7,6,5,17,3990,16,85518,838,5334,0.2154238691366098,1,1,1,13,1,0.9999587834489272,1,High
7,10,2,4,39,2243,16,118314,786,6850,0.1542995896280972,1,1,1,10,1,0.9999587834489272,1,High
7,7,2,5,43,1675,15,115003,785,5948,0.1314184609516042,1,0,1,12,1,0.9999587834489272,1,High
7,3,3,4,26,2188,29,137869,820,6201,0.1691163768998376,1,0,1,5,1,0.9999586457593347,1,High
11,4,3,4,44,2766,29,117683,747,4768,0.2097605726915799,1,0,1,18,1,0.9999586457593347,1,High
5,4,5,4,26,2701,20,131468,752,6689,0.1536745687334351,1,0,1,14,1,0.9999586457593347,1,High
10,3,3,4,27,3802,21,102311,755,4397,0.1641357679453396,1,0,1,12,1,0.9999586457593347,1,High
6,4,3,4,37,2490,21,90134,755,5228,0.1744189457393828,1,0,1,18,1,0.9999586457593347,1,High
6,4,5,7,36,3411,20,117924,826,5401,0.1874819249441646,1,0,1,15,1,0.9999586457593347,1,High
12,4,3,4,37,3463,21,126520,842,6954,0.2002929465706608,1,0,1,17,1,0.9999586457593347,1,High
5,4,2,6,17,2030,19,122444,784,4896,0.2154808901637919,1,0,1,17,1,0.9999586457593347,1,High
11,4,4,6,40,2613,24,66533,719,6115,0.1252371174411398,1,0,1,7,1,0.999955005366854,1,High
11,7,2,5,20,2374,27,116683,696,3470,0.2056259761421697,1,1,1,10,1,0.9999537545236832,1,High
7,7,3,6,25,2338,25,146679,716,3175,0.1990111026102967,1,0,1,8,1,0.9999537545236832,1,High
7,6,3,5,20,1878,21,111423,672,4007,0.1388051372609069,1,1,1,14,1,0.9999537545236832,1,High
9,5,4,6,42,3039,21,140562,667,3814,0.229518173805002,1,0,1,18,1,0.9999537545236832,1,High
11,8,3,5,22,2292,28,91915,732,3554,0.1345804816125628,1,1,1,17,1,0.9999537545236832,1,High
9,5,4,7,28,2068,25,94713,740,3407,0.1234258785898411,1,0,1,8,1,0.9999537545236832,1,High
9,6,3,4,26,3992,20,84466,725,3264,0.1615107728867539,1,1,1,17,1,0.9999537545236832,1,High
8,5,5,5,32,2378,29,99040,682,3454,0.1430068318826346,1,0,1,19,1,0.9999537545236832,1,High
8,6,5,7,24,2444,24,73487,722,3983,0.2463663654208428,1,0,1,18,1,0.9999537545236832,1,High
11,5,4,5,28,1946,27,71516,710,3414,0.138459253715771,1,0,1,16,1,0.9999537545236832,1,High
6,5,4,6,28,2982,25,121240,720,3599,0.1952333212071829,1,0,1,14,1,0.9999537545236832,1,High
6,7,2,4,37,1594,15,121631,793,3521,0.1829909647220991,1,1,1,10,1,0.9999531906077638,1,High
11,9,2,6,20,3972,16,126877,807,3504,0.2301791604500623,1,0,1,19,1,0.9999531906077638,1,High
9,4,2,4,44,3926,27,143084,755,3764,0.1506621526862326,1,0,1,7,1,0.9999530529181713,1,High
7,4,2,4,23,2117,27,127967,779,3315,0.2100135546622443,1,0,1,13,1,0.9999530529181713,1,High
12,6,3,5,47,2546,26,69184,802,5192,0.2369446945256939,1,0,1,10,1,0.9999521664462979,1,High
7,11,4,8,39,2969,19,94184,801,6871,0.2307091310611388,1,0,1,9,1,0.9999521664462979,1,High
5,7,2,4,30,2105,27,106117,801,6299,0.2352804261105154,1,0,1,7,1,0.9999521664462979,1,High
5,8,4,5,24,2398,24,145786,772,4452,0.2194551910765843,1,0,1,14,1,0.9999521664462979,1,High
8,14,2,7,40,2240,21,119538,807,4437,0.2367754463840319,1,0,1,5,1,0.9999521664462979,1,High
7,12,3,5,21,1716,24,95909,808,4810,0.2210290990705667,1,0,1,9,1,0.9999521664462979,1,High
13,6,11,4,48,1954,24,136939,839,5655,0.2456205415685331,1,0,1,6,1,0.9999521664462979,1,High
10,9,4,5,43,1743,17,133474,834,6265,0.2226447432702088,1,0,1,12,1,0.9999521664462979,1,High
5,11,3,8,46,2829,28,128865,831,6371,0.2259445357740773,1,0,1,8,1,0.9999521664462979,1,High
5,6,4,5,30,3131,16,130035,695,6073,0.1508292495207452,1,0,1,9,1,0.99995167865319,1,High
10,9,4,4,40,3334,16,131315,660,6325,0.2380985729733716,1,0,1,17,1,0.99995167865319,1,High
7,4,4,5,49,3758,25,115061,715,5405,0.207165497575985,1,0,1,19,1,0.9999515409635975,1,High
9,4,3,5,41,1960,21,112861,725,4688,0.1999527155739615,1,0,1,11,1,0.9999515409635975,1,High
8,3,4,6,40,2481,20,123328,736,6810,0.12838903257397,1,0,1,15,1,0.9999515409635975,1,High
9,3,2,5,43,2898,25,129603,703,5935,0.1431891450886736,1,0,1,13,1,0.9999515409635975,1,High
8,4,2,4,46,3495,27,102281,676,4609,0.1856384886625181,1,0,1,13,1,0.9999515409635975,1,High
12,3,3,4,21,2683,15,116980,809,5295,0.1348045389999511,1,1,1,5,1,0.9999509770476781,1,High
6,4,4,5,34,1523,15,99238,835,5542,0.180093181569733,1,0,1,7,1,0.9999509770476781,1,High
5,6,3,2,24,1525,27,73146,763,6085,0.1863488028617521,1,0,1,10,1,0.9999508065610072,1,High
9,6,6,2,42,2763,26,135801,802,6148,0.2488861199025514,1,0,1,16,1,0.9999508065610072,1,High
12,5,8,2,49,3735,24,138945,780,5852,0.188934467242537,1,0,1,9,1,0.9999508065610072,1,High
14,5,4,2,18,2083,22,107632,763,5388,0.2220593420032566,1,0,1,18,1,0.9999508065610072,1,High
7,9,4,2,20,1581,29,132257,745,6216,0.1582840529504602,1,0,1,12,1,0.9999508065610072,1,High
7,9,2,2,38,1867,29,76549,752,6047,0.2398031385582655,1,0,1,8,1,0.9999508065610072,1,High
6,7,3,2,26,1761,19,145371,755,6520,0.1785604892155163,1,0,1,16,1,0.9999508065610072,1,High
9,5,5,2,38,2567,29,132445,818,4948,0.1373446719180074,1,0,1,7,1,0.9999508065610072,1,High
6,6,3,6,37,3458,26,103604,766,3361,0.2341638432844905,1,0,1,11,1,0.9999465736051346,1,High
6,4,2,4,39,2481,27,139782,696,3221,0.2072778411565834,1,1,1,13,1,0.9999459481224342,1,High
9,4,2,4,31,2877,21,125651,679,3322,0.1394643233390047,1,0,1,14,1,0.9999459481224342,1,High
12,4,6,4,20,2972,23,83225,727,3389,0.1733671632471315,1,0,1,12,1,0.9999459481224342,1,High
6,4,3,4,31,2168,28,140995,732,3217,0.1703070000594968,1,0,1,19,1,0.9999459481224342,1,High
5,4,2,6,26,2160,22,109892,697,4085,0.2389411472301385,1,1,1,18,1,0.9999459481224342,1,High
8,3,5,5,48,3189,16,126252,765,3528,0.1575961153738306,1,0,1,14,1,0.9999453842065148,1,High
13,10,2,2,37,3671,21,122125,840,3651,0.1445923422682222,1,0,1,15,1,0.999945213719844,1,High
7,5,3,2,17,3596,22,127996,827,4025,0.2242105331776643,1,0,1,19,1,0.999945213719844,1,High
8,6,3,2,18,1750,17,107303,795,4074,0.2382818450736832,1,1,1,19,1,0.999945213719844,1,High
9,11,2,2,27,2404,28,112499,741,3619,0.2066499991886995,1,1,1,18,1,0.999945213719844,1,High
8,5,5,7,27,3487,18,82061,658,6542,0.2445985463388195,1,0,1,12,1,0.9999450616505609,1,High
7,5,4,7,23,2827,29,118408,697,5220,0.2236646720124163,1,0,1,9,1,0.9999450616505609,1,High
10,8,2,4,22,1806,28,135954,677,6823,0.2303271908536382,1,0,1,9,1,0.9999450616505609,1,High
6,6,4,4,42,2551,23,129163,733,6869,0.2348264336594528,1,0,1,9,1,0.9999450616505609,1,High
12,7,4,5,37,2760,29,69840,714,4269,0.2352978741709828,1,0,1,7,1,0.9999450616505609,1,High
7,5,4,5,16,2628,29,148392,721,4696,0.2251828998568333,1,0,1,13,1,0.9999450616505609,1,High
9,6,4,5,28,1980,29,144328,734,5817,0.2418045169940381,1,0,1,6,1,0.9999450616505609,1,High
10,6,3,4,17,2282,15,115958,804,5406,0.2415233136078686,1,1,1,10,1,0.9999444977346414,1,High
11,9,6,4,20,3520,16,94296,810,6071,0.2413259336092786,1,0,1,11,1,0.9999444977346414,1,High
5,4,5,6,47,3459,16,78782,720,5512,0.1553554640111507,1,0,1,17,1,0.999943872251941,1,High
9,6,4,2,40,3399,20,105485,687,6950,0.1452507785408643,1,0,1,5,1,0.9999437017652701,1,High
13,8,4,2,32,2253,28,83723,724,4293,0.2473744595995219,1,0,1,8,1,0.9999437017652701,1,High
7,5,3,2,46,1830,24,141083,717,4468,0.1257211070002776,1,0,1,16,1,0.9999437017652701,1,High
17,6,3,2,31,2906,27,90011,689,5768,0.2305274276082584,1,0,1,6,1,0.9999437017652701,1,High
6,8,5,2,43,3779,16,121586,695,5151,0.2013787605489346,1,0,1,3,1,0.9999437017652701,1,High
8,8,2,2,25,3477,25,121005,715,4717,0.129314579850093,1,0,1,18,1,0.9999437017652701,1,High
9,9,5,2,43,1996,27,119247,695,5234,0.1684308646139994,1,0,1,18,1,0.9999437017652701,1,High
8,8,5,3,40,3753,20,143911,762,4334,0.2145415015440972,1,0,1,8,1,0.9999434636548366,1,High
5,6,4,3,22,3464,21,101457,786,4917,0.1636203224842496,1,1,1,13,1,0.9999434636548366,1,High
5,11,4,3,33,3147,29,128124,788,5024,0.2309316914053877,1,0,1,18,1,0.9999434636548366,1,High
10,8,2,3,35,3198,18,137393,804,4851,0.1611704040101765,1,0,1,12,1,0.9999434636548366,1,High
6,8,3,3,40,2244,28,136455,792,6560,0.2091438738143342,1,0,1,5,1,0.9999434636548366,1,High
6,5,4,2,46,2801,15,87716,814,6560,0.1919824930965414,1,0,1,5,1,0.9999431378493508,1,High
5,4,6,2,40,3649,17,101347,812,6680,0.2441669000110207,1,0,1,15,1,0.9999430001597582,1,High
8,3,2,2,33,3994,21,121606,797,6428,0.1994943308534958,1,0,1,16,1,0.9999430001597582,1,High
7,5,3,4,20,2283,29,128120,728,4241,0.2243703839084765,1,0,1,9,1,0.9999394688093974,1,High
8,9,4,7,18,3590,20,134979,712,3170,0.2193923622290339,1,0,1,13,1,0.9999394688093974,1,High
11,4,2,5,19,1945,16,122643,735,3132,0.1603750120216023,1,0,1,12,1,0.9999382794107777,1,High
7,8,3,2,17,1893,22,96498,663,3148,0.2278280631690163,1,0,1,8,1,0.999938108924107,1,High
7,6,4,2,28,3456,27,89134,717,3807,0.1403856516911847,1,0,1,15,1,0.999938108924107,1,High
10,7,3,3,25,3239,28,149678,834,3990,0.1445751382145791,1,0,1,8,1,0.9999378708136731,1,High
10,5,5,3,30,2208,23,145189,770,4185,0.1539092294453259,1,1,1,13,1,0.9999378708136731,1,High
9,9,5,3,34,1982,26,146113,770,3663,0.1831804482709694,1,0,1,11,1,0.9999378708136731,1,High
12,7,2,3,26,1594,24,140636,799,4046,0.1530049214249388,1,0,1,15,1,0.9999378708136731,1,High
6,7,5,3,26,2332,21,128226,764,4241,0.1857551989370028,1,0,1,16,1,0.9999378708136731,1,High
6,9,8,2,41,3795,16,117439,777,3281,0.1841590079302407,1,0,1,6,1,0.9999375450081875,1,High
8,4,2,2,39,3438,19,134860,827,3248,0.1718407576130985,1,0,1,7,1,0.999937407318595,1,High
5,3,7,7,45,3096,23,102923,738,5142,0.2290950045733,1,0,1,13,1,0.9999372552493118,1,High
11,5,3,3,32,3678,20,144579,698,6984,0.1811421262318368,1,0,1,7,1,0.9999363588590994,1,High
6,5,3,3,38,2369,24,105630,678,5404,0.1574070466316817,1,0,1,15,1,0.9999363588590994,1,High
9,7,4,3,27,2800,20,112249,658,4806,0.1994275285506289,1,1,1,10,1,0.9999363588590994,1,High
9,6,2,2,31,3391,15,123021,709,6464,0.2457431009282437,1,1,1,10,1,0.9999360330536138,1,High
10,4,5,2,31,3364,17,121040,670,6206,0.1379435891619266,1,0,1,11,1,0.9999358953640212,1,High
9,4,3,2,31,3042,24,65495,715,6075,0.1316435831611203,1,0,1,7,1,0.9999358953640212,1,High
10,8,4,3,25,3308,15,114040,743,4736,0.1336974398926113,1,0,1,12,1,0.99993579494318,1,High
13,10,6,3,22,3941,16,114979,826,6001,0.2329937723174663,1,0,1,18,1,0.99993579494318,1,High
8,6,2,3,47,3113,16,133466,772,5262,0.1776980956879684,1,1,1,16,1,0.99993579494318,1,High
8,6,3,3,44,3197,16,141029,784,4759,0.1581301194014734,1,0,1,14,1,0.99993579494318,1,High
7,6,3,3,27,3350,16,145366,741,5228,0.13678120536852,1,0,1,15,1,0.99993579494318,1,High
11,3,4,3,23,2583,18,148399,805,6195,0.2072276902100805,1,0,1,5,1,0.9999356572535875,1,High
10,4,4,3,19,3686,27,148294,829,4942,0.2306569601078167,1,1,1,15,1,0.9999356572535875,1,High
8,4,2,3,42,3913,26,111277,835,5300,0.2446025774266516,1,0,1,17,1,0.9999356572535875,1,High
8,7,3,2,16,2515,20,129513,830,6544,0.1794811397842024,1,1,1,8,1,0.9999350333122454,1,High
13,5,5,5,48,2615,15,94799,736,3233,0.2270646560556699,1,0,1,6,1,0.9999318000977411,1,High
11,4,3,5,39,3276,22,146123,723,3179,0.229221618414142,1,1,1,10,1,0.9999316624081485,1,High
9,4,3,7,36,3331,16,93546,797,3627,0.2304258661632941,1,0,1,6,1,0.9999310984922292,1,High
5,5,2,3,31,3589,17,105040,677,3806,0.1728565792138681,1,0,1,10,1,0.9999307660179361,1,High
13,7,3,3,49,2247,27,101713,698,3582,0.1610932056317671,1,0,1,19,1,0.9999307660179361,1,High
8,9,3,3,35,3669,18,136272,661,4256,0.1907221552937577,1,0,1,10,1,0.9999307660179361,1,High
8,8,4,7,45,3996,13,63488,753,5908,0.2118050052787601,1,0,1,17,1,0.999930291517299,1,High
8,7,3,4,37,3880,21,62693,825,6274,0.1276168154023176,0,1,1,17,1,0.9999297337951883,1,High
8,4,2,6,42,2222,16,130102,693,6215,0.2339587070256377,1,1,1,13,1,0.9999295865376553,1,High
12,7,2,3,39,3943,18,110726,794,4580,0.232801272729501,1,0,1,8,1,0.9999291779405507,1,High
8,6,4,3,19,3794,16,126323,728,4681,0.2351688194146652,1,0,1,15,1,0.9999286901474429,1,High
7,13,5,3,39,2323,15,124532,740,5057,0.1944567701820987,1,0,1,6,1,0.9999286901474429,1,High
9,4,6,3,32,2677,15,107367,814,5540,0.2078337283024355,1,0,1,16,1,0.999927988541931,1,High
11,4,3,3,39,3695,15,133110,778,6828,0.190969429748754,1,1,1,11,1,0.999927988541931,1,High
8,7,5,2,38,2037,13,105485,751,6140,0.1429788297831364,1,0,1,12,1,0.9999276795463397,1,High
9,7,2,5,19,1720,29,144644,835,6575,0.1611452781883378,1,1,1,8,1,0.9999266115231334,1,High
13,7,2,10,38,2139,29,63465,801,5407,0.1867185968576164,1,0,1,6,1,0.9999258063340918,1,High
12,6,6,4,46,3506,12,145314,777,5065,0.1923841641195855,1,0,1,10,1,0.9999253183632882,1,High
7,9,2,3,27,2295,16,146988,730,4137,0.1843690485118166,1,0,1,5,1,0.9999230973062797,1,High
7,5,5,3,40,2123,16,146488,700,3993,0.1378229930838483,1,0,1,7,1,0.9999230973062797,1,High
8,5,5,4,42,2206,21,66615,756,4447,0.1224545142149105,0,0,1,14,1,0.9999221644383733,1,High
10,6,3,3,29,3540,19,114567,705,4942,0.2237781156371942,1,0,1,12,1,0.9999220731448136,1,High
6,5,3,4,27,2348,28,126788,783,3978,0.2157111753173983,1,1,1,6,1,0.9999210186819701,1,High
8,9,10,5,23,1832,22,146314,784,3271,0.1728319808710846,1,1,1,8,1,0.9999210186819701,1,High
9,6,4,6,23,2078,18,125658,838,4000,0.2035446083004738,1,1,1,8,1,0.9999210186819701,1,High
6,6,3,4,19,1949,20,101819,770,3301,0.2021894704503123,1,1,1,8,1,0.9999210186819701,1,High
7,11,1,6,19,3659,23,113520,815,5312,0.1466013114326725,1,0,1,19,1,0.9999200573284264,1,High
6,8,1,4,40,2360,23,133711,759,4514,0.1658940219401216,1,0,1,12,1,0.9999200573284264,1,High
5,8,1,6,23,3428,22,113420,779,5445,0.1627694507094359,1,0,1,14,1,0.9999200573284264,1,High
7,8,1,7,21,2357,29,113788,763,6809,0.226666676981935,1,0,1,19,1,0.9999200573284264,1,High
7,6,3,5,33,3983,12,129716,752,3785,0.1573306044063642,1,0,1,8,1,0.9999197255221248,1,High
8,6,6,6,32,2822,20,136251,721,5164,0.1459966359494479,1,1,1,7,1,0.9999195067273964,1,High
8,5,4,4,49,2583,17,73269,707,6888,0.1746989562295703,1,1,1,8,1,0.9999195067273964,1,High
7,6,3,6,40,2056,13,71682,743,5815,0.1314037007517569,1,0,1,18,1,0.9999192577572277,1,High
14,11,2,6,17,3057,13,148860,820,5601,0.1852964168049086,1,0,1,6,1,0.9999192577572277,1,High
6,5,3,4,29,3378,13,123656,818,6734,0.2169432966066223,1,0,1,13,1,0.9999192577572277,1,High
9,8,5,4,30,3687,13,106900,785,4553,0.238664104053022,1,0,1,15,1,0.9999192577572277,1,High
12,8,4,5,45,1952,13,86004,764,4851,0.2038034608588254,1,0,1,9,1,0.9999192577572277,1,High
5,5,5,4,39,1857,16,77565,811,5065,0.1692376882972875,1,1,1,9,1,0.999918942811477,1,High
12,6,2,4,20,2620,19,64527,844,3379,0.2155310411455926,1,0,1,5,1,0.9999187047421743,1,High
11,6,3,4,19,1899,28,124618,766,6890,0.1758075635391237,0,1,1,15,1,0.9999187000351167,1,High
7,7,4,5,46,2779,27,122071,843,6539,0.1858801052933124,0,0,1,14,1,0.9999187000351167,1,High
15,9,7,7,22,3497,21,124450,815,4564,0.1430726385488315,0,1,1,12,1,0.9999187000351167,1,High
6,6,6,5,35,1806,24,90846,821,5752,0.2489719843137466,0,0,1,17,1,0.9999187000351167,1,High
5,8,3,7,36,3625,17,91757,797,4685,0.173125233897048,0,0,1,16,1,0.9999187000351167,1,High
6,8,6,4,20,2881,26,126758,820,4501,0.18084850985541,0,0,1,10,1,0.9999187000351167,1,High
11,4,3,5,42,3881,29,61833,690,3453,0.1718040242555013,1,1,1,6,1,0.9999171412450555,1,High
11,6,5,3,30,1598,21,116501,684,3302,0.2202782012533891,1,0,1,10,1,0.9999164803036503,1,High
7,7,5,6,28,1606,26,66533,722,5916,0.2158182572937427,0,1,1,11,1,0.9999150596426363,1,High
5,11,2,5,42,2435,28,76715,771,6826,0.1661202679386779,1,0,1,11,1,0.9999147725740204,1,High
7,5,2,6,20,2423,29,90373,807,5029,0.1268060785241538,1,1,1,16,1,0.9999147725740204,1,High
12,10,2,5,19,2948,20,89877,799,4874,0.2172132654687184,1,0,1,10,1,0.9999147725740204,1,High
9,8,2,4,25,3273,28,94262,841,4547,0.2092336046863514,1,1,1,10,1,0.9999147725740204,1,High
7,6,2,4,39,2165,18,82995,810,5317,0.1420249122721221,1,1,1,16,1,0.9999147725740204,1,High
10,6,1,4,22,3133,17,121804,830,3733,0.14963124545383,1,0,1,19,1,0.9999144644872631,1,High
6,4,2,3,29,2143,26,121407,711,5922,0.2290053282920728,1,0,1,7,1,0.9999142667435647,1,High
10,5,4,7,31,3878,13,73386,815,4212,0.1378490042530241,1,0,1,9,1,0.9999136649160643,1,High
4,5,3,7,45,2692,21,127891,834,3333,0.2236067212564557,1,0,1,18,1,0.9999135875823698,1,High
11,9,4,4,23,3272,27,110486,794,3667,0.1972519806955526,0,0,1,15,1,0.9999131071939534,1,High
7,8,5,5,27,3136,27,112236,771,3143,0.1932398862866015,0,0,1,15,1,0.9999131071939534,1,High
11,5,4,6,20,3487,27,90934,761,3854,0.2057812329594412,0,0,1,10,1,0.9999131071939534,1,High
6,6,4,4,28,3678,29,136380,773,3821,0.1975380123568498,0,0,1,15,1,0.9999131071939534,1,High
7,5,1,6,36,2945,25,99103,688,5741,0.1935323486868756,1,0,1,10,1,0.9999129525326893,1,High
8,5,1,6,18,3496,29,120156,737,5753,0.1385699679869501,1,0,1,5,1,0.9999129525326893,1,High
8,4,1,5,19,3051,16,104597,790,6451,0.195825786194183,1,0,1,8,1,0.99991238861677,1,High
8,6,1,9,26,2051,14,103601,830,5546,0.1727555719860353,1,0,1,18,1,0.99991238861677,1,High
13,9,8,5,24,3696,13,85822,709,5217,0.2437324538411195,1,0,1,17,1,0.9999121529614905,1,High
7,6,4,4,37,1930,14,107883,672,5414,0.1262365921900369,1,0,1,16,1,0.9999121529614905,1,High
