email_opens,website_visits,brochure_downloads,contact_attempts,home_age,home_size_sqft,current_heating_age,estimated_income,credit_score,heating_degree_days,electricity_rate,referral,previous_customer,homeowner,time_in_home,converted
0,1,0,2,36,1127,22,46844,695,5580,0.10467804998419461,0,0,1,10,0
14,4,2,3,21,1591,23,135205,674,4000,0.2440649737110291,0,0,1,19,1
2,1,1,3,1,2585,8,37402,635,1549,0.1708048538224231,0,0,1,5,0
2,0,0,1,3,3252,4,38591,590,3699,0.08595598402626978,0,0,1,1,0
1,0,1,0,25,1686,13,41637,704,1899,0.1609809544784262,0,0,0,1,0
0,1,1,3,22,1341,24,55404,575,3393,0.196043222342015,0,0,1,2,0
3,1,0,0,27,957,17,35225,629,1825,0.09820432846669443,0,0,1,8,0
0,1,0,0,0,1897,14,89591,637,3800,0.08015862199476256,0,0,1,1,0
5,4,5,4,26,2701,20,131468,752,6689,0.15367456873343513,1,0,1,14,1
3,1,1,3,11,2274,14,92443,516,2157,0.17915001735454128,0,0,1,3,0
1,3,0,1,37,820,12,98467,554,2233,0.1364587952010969,0,0,1,1,0
2,1,0,0,27,2374,18,45852,706,4717,0.08723294112726593,0,0,1,6,0
15,4,2,3,46,3048,25,135418,762,4256,0.2021357585121669,0,0,1,15,1
2,2,0,0,14,2518,15,69872,605,1899,0.1954301713078676,0,0,1,6,0
2,0,0,2,24,3263,5,84933,573,5054,0.21809231747877966,0,0,1,6,0
2,2,0,0,0,3027,22,72345,573,3280,0.12037933387272422,0,0,1,3,0
4,6,2,2,46,2052,29,86289,741,6389,0.22184495437240992,1,0,1,13,1
1,0,0,0,23,1653,22,70995,747,3775,0.16380388137138274,0,0,1,9,0
0,0,0,1,23,1505,19,43080,620,5235,0.15854414300044067,0,0,1,8,0
4,2,1,1,30,955,19,67652,737,1857,0.14671969072566132,0,0,1,7,0
2,2,1,1,5,3240,12,51607,645,4746,0.08165237430658233,0,0,1,14,0
2,0,0,0,33,1288,1,63968,680,3033,0.16242603708100073,0,0,1,1,0
1,1,0,0,34,3368,20,49243,731,1283,0.11969286579196266,0,0,1,10,0
1,0,2,1,15,3287,2,31453,701,2296,0.20520993253080666,0,0,1,6,0
4,1,0,0,32,1732,7,53777,633,3852,0.17998791143726306,1,0,1,4,0
1,1,0,1,23,3071,12,38907,746,2914,0.18385849987626857,0,1,1,13,0
2,0,0,0,31,2146,18,81703,617,2794,0.08435966555253357,0,0,1,4,0
1,1,0,0,27,824,2,90080,675,3427,0.11588544161778758,0,0,1,5,0
4,1,1,1,4,816,12,46350,588,2278,0.16063340790332703,0,0,1,12,0
1,1,0,0,3,3024,14,95190,714,4276,0.18132382133939615,1,0,1,2,0
0,0,0,1,22,2597,22,34584,520,4183,0.16651720738985215,0,0,1,4,0
3,1,0,1,26,1616,24,52975,600,5542,0.10799978721662878,0,0,1,4,0
3,0,0,0,19,3091,20,96745,684,3375,0.18849699691361088,1,0,0,1,0
2,0,0,1,37,3481,12,45244,639,4274,0.08954656833190432,0,1,1,3,0
11,10,1,6,34,1836,15,105536,778,3910,0.1459356909408491,0,0,1,15,1
1,0,1,1,15,938,13,81517,518,2436,0.20305708576099762,0,0,1,6,0
2,2,0,1,38,870,1,39054,625,3866,0.08789668711220396,0,0,1,2,0
1,1,0,0,37,2260,23,96395,661,5995,0.1917439145844384,0,0,1,5,0
1,1,1,0,18,1927,9,70415,681,5776,0.08600957385825996,0,0,1,14,0
1,0,0,1,7,3414,14,51582,529,5031,0.20766391312966148,0,0,1,1,0
0,2,0,0,3,2381,2,44132,651,1135,0.10633612386770143,1,0,1,8,0
7,2,0,1,20,2652,23,97462,614,3799,0.09302444956309062,0,0,0,11,0
7,5,3,4,20,2283,29,128120,728,4241,0.22437038390847658,1,0,1,9,1
2,1,1,0,4,3453,22,30827,544,1979,0.1122636842264894,0,0,1,0,0
7,1,0,3,24,2175,0,83426,677,4607,0.19319896116549262,0,0,1,12,0
0,2,1,0,8,2315,10,89828,601,3847,0.17034247755648432,1,0,0,10,0
0,2,0,1,8,944,24,56026,701,5457,0.09209136427890277,1,0,0,5,0
9,7,3,7,22,3635,27,101845,740,5497,0.13698115793526558,1,1,1,15,1
2,2,2,2,25,2525,16,59595,589,2215,0.09394921908649835,0,0,1,5,0
1,1,0,1,13,2500,6,61221,517,5370,0.18924522136373503,0,0,1,6,0
1,2,1,2,36,1286,2,97244,619,5006,0.1644715100412645,0,0,1,12,0
1,1,0,3,1,1016,22,35115,509,4024,0.20964609393683814,0,0,1,2,0
2,8,1,6,22,2118,22,89603,709,3265,0.21086618398751245,0,0,1,8,1
2,0,0,1,36,1708,22,94664,685,3554,0.12937369952475458,0,0,1,11,0
3,1,0,0,18,2000,19,75694,637,4281,0.21853100402471992,1,0,0,7,0
0,1,1,1,38,1929,17,72293,675,5424,0.1090302131444587,0,0,1,10,0
1,0,3,1,21,2705,13,85226,501,3315,0.14966428097062792,0,0,1,4,0
4,3,0,0,8,2505,21,92969,738,5785,0.21247369464351962,0,0,1,12,0
4,2,1,1,13,2340,11,79345,525,2505,0.1931779899719716,0,0,1,13,0
2,1,1,2,34,1682,15,73692,629,1919,0.21429131583001082,0,0,1,3,0
4,2,1,0,25,3255,5,74601,656,2480,0.10944097977225001,0,0,1,13,0
0,0,1,0,27,2478,4,66548,623,3755,0.09266942949921379,0,0,1,11,0
2,2,0,1,39,3035,9,70963,589,2941,0.10630679578875743,1,0,1,10,0
7,1,1,0,10,1379,21,91801,502,5858,0.17332301621185664,1,0,0,10,0
1,1,3,4,27,970,19,60908,733,5482,0.19027978623359057,0,0,0,8,0
1,1,1,2,8,1218,4,33919,704,3781,0.2097232342178521,0,0,1,6,0
2,2,1,0,35,3436,6,39660,736,2968,0.1648257362760169,0,0,1,13,0
2,2,0,2,37,1383,23,71144,649,4535,0.11181939424691292,0,0,1,14,0
3,1,0,0,28,1862,16,49881,739,3446,0.08887022672317546,0,0,1,12,0
5,0,1,2,14,3240,17,82323,552,2125,0.17176259108429992,1,0,1,12,0
0,2,0,1,21,1241,15,86403,598,1722,0.17763252528660373,0,0,1,10,0
9,7,1,6,20,2893,23,65634,816,6682,0.18613968390765864,1,0,1,12,1
2,0,0,1,16,1279,2,85707,692,4416,0.14072722052379297,0,0,1,3,0
4,2,0,0,27,1804,6,61257,736,5922,0.0802514669484456,0,1,1,11,0
2,2,0,1,4,2479,19,38314,649,5280,0.1954516081660066,0,0,1,7,0
4,2,0,3,2,1634,2,68691,748,4563,0.2168927106013661,0,0,0,6,0
1,0,1,4,29,2399,21,70588,730,1509,0.12792288422013415,0,0,1,5,0
3,1,1,1,19,1976,19,93020,529,4577,0.1973090365895484,0,0,1,6,0
3,2,0,0,29,1937,16,67590,591,2128,0.157926953511078,0,0,0,1,0
1,0,1,1,1,2838,19,67501,683,2287,0.16463661398465335,0,0,1,7,0
1,0,1,2,1,3245,19,81803,631,3382,0.12862238778122284,0,0,1,12,0
4,3,0,2,36,3201,21,54202,595,4568,0.10599926825308019,0,0,1,5,0
3,0,0,2,6,2777,10,39178,505,3593,0.20495635282191255,0,0,1,0,0
3,0,0,1,20,1377,8,72622,739,4621,0.16094803512345685,1,0,1,2,0
2,1,0,0,22,2056,0,58907,575,5837,0.208747612055372,1,0,0,10,0
3,0,0,0,33,3419,14,94915,504,3516,0.16614918949173785,0,1,1,10,0
0,0,3,2,1,2796,23,65322,730,5304,0.16199763651250937,0,0,1,5,0
3,0,0,0,8,2290,16,58538,560,5962,0.1335320822255139,0,0,0,11,0
5,8,0,5,43,3222,16,71674,681,6119,0.18023537494515884,1,0,1,10,1
1,1,1,0,30,837,1,38078,558,4658,0.11146651236480193,0,0,1,0,0
1,0,1,0,21,2474,2,35828,682,4499,0.08584565220585054,0,0,1,7,0
4,0,0,1,39,1392,22,55204,576,5332,0.159219547999636,0,0,0,14,0
5,1,0,1,26,1001,1,32409,650,2201,0.1901110154323395,0,0,1,0,0
2,0,0,0,1,2052,23,55942,620,2164,0.08212835345346099,0,0,1,8,0
2,1,0,0,20,1536,8,91801,590,4208,0.20321493843943955,0,0,1,11,0
5,0,0,1,2,823,18,61756,651,1177,0.13846824202329025,0,0,1,1,0
1,0,0,2,20,3009,6,36543,624,1510,0.1966958183203322,0,0,0,7,0
1,1,0,1,32,1964,16,73772,528,4534,0.1813825154321503,0,0,0,11,0
2,3,0,1,11,2454,24,85040,576,2735,0.09351045739558099,0,0,1,9,0
2,1,0,0,26,3207,1,81381,720,1683,0.08899152453150372,0,0,0,5,0
4,1,1,1,33,2023,3,31850,656,4102,0.19307293419724708,0,0,1,4,0
1,1,1,3,17,2975,15,65355,575,2114,0.15252022184227815,0,0,1,2,0
0,1,1,3,10,2754,21,61382,701,2943,0.10664036533682503,0,0,1,3,0
4,5,3,7,45,2692,21,127891,834,3333,0.2236067212564557,1,0,1,18,1
2,2,0,1,4,2237,12,41808,522,2873,0.1497091573380101,1,0,1,9,0
1,3,0,3,29,1880,0,42120,714,4352,0.13134859069159144,0,0,1,13,0
2,3,0,1,18,2386,6,75255,609,1712,0.09668048870109011,0,0,1,2,0
9,7,5,5,48,3236,21,129166,776,3146,0.16363759829507774,1,0,1,13,1
3,1,0,0,18,2917,14,74381,721,4580,0.13147943026781117,0,0,0,6,0
0,1,0,1,10,1398,2,83253,600,4520,0.0986658387085307,0,0,1,10,0
4,0,0,2,20,2102,19,69148,573,3921,0.2034158443551265,0,0,1,9,0
5,6,2,4,44,1544,13,124140,820,3829,0.2468842508180265,1,0,1,17,1
1,3,1,0,7,1056,21,38349,521,3218,0.15388778031502146,0,0,1,12,0
2,1,0,0,21,2947,23,94482,501,2171,0.10514049421402502,0,0,0,2,0
10,8,1,3,37,3044,14,122483,771,4776,0.14260638239853335,1,0,1,19,1
3,0,0,1,20,1292,16,88871,598,5314,0.17423561954965888,1,0,1,2,0
0,1,0,2,38,1175,5,60769,607,3277,0.17653598488454902,0,0,1,12,0
2,0,0,1,16,2350,24,73078,537,4824,0.1692561758695973,0,0,0,13,0
0,0,1,0,28,2182,14,73926,514,2689,0.10061087080053675,0,0,1,6,0
2,2,1,2,35,2680,2,82449,646,3596,0.11390211995884403,0,0,1,13,0
2,2,0,0,27,1255,3,56874,635,1407,0.1671561434887201,0,0,1,14,0
3,2,0,2,10,3380,12,56488,661,3782,0.13513741458649084,0,0,1,3,0
4,2,1,2,21,3483,11,39178,592,2593,0.13767803430890918,0,0,1,4,0
2,0,0,0,30,2636,4,84407,583,1168,0.10965383270780844,0,0,1,5,0
1,3,2,2,16,1270,7,88473,706,2183,0.16245296019177127,0,0,1,3,0
4,0,1,1,16,2021,12,54337,640,5093,0.1403256712099174,1,0,1,9,0
3,1,1,2,16,2309,16,59876,532,4869,0.1669637893955408,0,0,1,1,0
1,0,0,5,15,2460,10,88415,615,4325,0.08427422428519142,0,0,1,11,0
12,5,8,2,49,3735,24,138945,780,5852,0.188934467242537,1,0,1,9,1
1,0,0,1,27,1037,9,91702,607,4757,0.11068781883482119,0,0,1,1,0
3,0,1,1,16,1583,7,42369,631,5135,0.13894117689835117,0,0,1,2,0
2,10,2,3,49,2833,13,113302,760,5711,0.24178786611221853,1,0,1,6,1
2,1,1,0,22,2091,0,70866,540,2584,0.08006834611969854,0,0,0,6,0
4,3,0,0,27,2755,9,58136,536,2823,0.18927876036045255,0,0,1,8,0
12,3,3,8,31,3992,25,87033,811,6673,0.21505672573091436,0,1,1,4,1
1,0,1,1,21,2926,8,52022,558,2759,0.1808675105132051,0,0,1,11,0
6,5,3,4,27,2348,28,126788,783,3978,0.2157111753173983,1,1,1,6,1
0,0,0,0,27,1476,15,74321,621,2857,0.1760564229126932,0,0,1,0,0
2,1,0,3,28,2735,13,37619,669,1575,0.21912934331782274,0,0,1,4,0
2,1,0,0,38,1471,20,94538,744,5601,0.16885420478723084,0,0,1,8,0
1,1,1,1,12,892,9,83281,583,4360,0.19839880301431156,0,0,1,13,0
5,5,2,3,31,3589,17,105040,677,3806,0.17285657921386818,1,0,1,10,1
3,0,0,0,20,2257,1,83069,748,5992,0.21172378029199773,0,0,1,7,0
2,1,1,1,30,3269,22,63178,606,2315,0.11766454756449647,0,0,1,5,0
1,0,0,1,35,1105,5,33802,585,4132,0.12409058767398831,0,0,0,8,0
12,4,3,3,22,1722,19,77748,710,3923,0.245814032076591,1,0,1,6,1
6,4,5,4,37,3225,26,60947,672,4128,0.2077746240165111,1,0,1,15,1
0,1,3,1,34,1058,13,41744,563,5044,0.17534714031903068,0,0,1,5,0
0,0,0,1,2,2715,13,91731,651,5313,0.1611720773543553,0,0,1,12,0
1,0,0,0,23,2872,1,85481,713,2096,0.1072543569735473,1,0,1,14,0
0,0,1,2,13,2009,2,66184,694,4165,0.14956246524251676,1,0,1,10,0
3,1,1,1,15,1787,2,50817,523,1081,0.1613662719966351,0,0,1,7,0
4,1,0,2,14,3356,15,80219,735,1967,0.10589879934624653,0,1,1,11,0
5,0,1,1,36,1517,9,99434,741,4412,0.1810115100644928,0,0,1,11,0
5,1,0,3,19,1047,4,68758,713,4821,0.09576430981764225,0,0,1,4,0
5,1,1,2,33,858,0,45524,665,5861,0.2107576814394434,0,1,1,7,0
2,0,0,0,12,2532,8,52414,726,3502,0.13211011899132963,0,0,0,2,0
9,2,4,4,32,3593,16,145096,758,6388,0.12252456050566132,1,0,1,17,1
2,1,1,0,16,2051,8,91279,671,3502,0.1872999988362697,1,0,1,0,0
2,0,0,1,28,2952,24,59970,692,3146,0.20184636419760865,0,0,1,8,0
2,5,5,3,16,2048,25,126411,784,5725,0.16242023263703717,0,0,1,9,1
0,0,2,0,12,1030,7,74935,719,5211,0.19593771006022515,0,0,1,11,0
2,3,1,1,30,1022,5,45075,582,5635,0.13564946104824094,0,0,1,10,0
2,6,2,1,17,1778,10,79242,507,1529,0.18902475402505298,0,0,0,0,0
4,2,0,1,2,2291,1,37406,673,5694,0.13853963724973434,0,0,1,0,0
5,2,0,2,31,1606,6,92658,591,3248,0.14862288398212375,0,0,1,11,0
2,3,0,0,23,3432,14,86920,585,2067,0.1436231727715832,0,0,0,4,0
3,3,0,1,18,1340,6,42607,744,1455,0.207057669108894,0,0,1,13,0
2,1,0,0,14,3159,21,73608,542,5082,0.1382527207885863,1,0,0,11,0
6,7,2,4,37,1594,15,121631,793,3521,0.18299096472209914,1,1,1,10,1
3,1,0,1,38,1621,20,75205,596,4551,0.21859201512800114,0,1,1,8,0
2,1,0,1,33,3246,21,31043,672,5796,0.2061607180455703,1,0,1,1,0
3,0,1,1,26,1180,2,59488,733,1542,0.16350657967998972,0,0,1,10,0
11,5,3,3,32,3678,20,144579,698,6984,0.18114212623183684,1,0,1,7,1
1,0,0,1,26,2856,10,39860,702,3562,0.18118700645167202,0,0,1,13,0
2,2,1,1,12,1699,17,96358,676,4444,0.18684343167016954,0,0,1,10,0
8,6,0,5,31,3764,24,124912,675,4275,0.2419503172259125,1,1,1,6,1
2,0,0,2,13,3415,3,40113,540,5249,0.18042799411545338,0,0,1,7,0
10,6,3,3,34,3673,25,84346,733,6514,0.1844770706700563,1,0,1,16,1
0,1,1,1,17,2703,5,39458,610,2211,0.11811591849562447,0,0,0,6,0
4,6,3,3,48,1515,25,84647,663,3286,0.18338779694644292,1,0,1,16,1
2,0,0,2,3,1703,0,72991,539,3760,0.19495951358326444,0,1,1,1,0
2,2,0,0,14,2560,18,98637,676,4550,0.1082304088479663,0,0,1,10,0
1,2,0,1,24,1944,13,96220,570,4094,0.09598292294163695,0,0,1,13,0
3,0,2,1,9,1528,12,70142,606,5149,0.19707834834768953,0,0,0,6,0
3,2,0,2,8,3130,12,61754,746,3873,0.16149573743111356,0,0,1,12,0
0,1,0,0,17,1719,6,44792,734,3949,0.09897723986236659,1,0,0,14,0
4,1,0,0,3,1745,6,53938,533,3926,0.09949547925774771,0,0,1,0,0
0,0,0,1,16,2476,23,62554,561,4047,0.20922251046225854,0,0,1,7,0
2,0,1,0,31,1183,14,82163,525,4430,0.20106490360446416,0,0,1,4,0
0,0,1,1,29,2383,20,65891,501,2037,0.18891439264925686,0,0,1,3,0
1,1,0,2,17,2697,0,64014,738,5129,0.21126537238780102,0,0,1,0,0
2,0,1,0,9,899,12,94073,743,5739,0.09088717273137434,0,0,1,9,0
5,0,1,0,27,2365,16,53732,566,1183,0.192600170468348,0,0,1,2,0
1,3,0,1,1,1166,21,57485,510,3921,0.13995328367495422,0,0,1,12,0
1,1,0,1,25,2995,24,65589,729,2719,0.169322761264869,1,0,1,0,0
0,1,1,0,7,1788,20,65027,538,2104,0.1257795002789423,0,0,1,12,0
1,0,0,4,9,2504,12,93405,638,1266,0.2015926155262524,0,0,1,9,0
1,1,1,2,22,1635,9,34025,507,2115,0.09515006053940264,0,0,1,3,0
2,2,2,1,35,2776,23,42725,562,4797,0.13993341599177556,1,0,0,2,0
1,1,0,4,18,824,13,67427,601,5748,0.16160749054819962,0,0,0,9,0
1,3,3,2,44,3072,26,67512,822,5800,0.1317421378171874,0,0,1,13,1
7,11,1,6,19,3659,23,113520,815,5312,0.14660131143267258,1,0,1,19,1
2,2,0,0,7,2771,8,79737,559,4057,0.08404785667141346,0,0,1,13,0
2,3,1,1,10,2796,3,72149,558,5554,0.1560019317275374,0,0,1,7,0
1,1,0,1,2,2404,21,41279,711,3194,0.10571889649220764,0,0,1,2,0
2,3,0,1,10,2035,3,34600,599,5643,0.0910735944528876,0,0,1,6,0
1,1,0,0,10,1624,20,41957,706,2264,0.14272902778233193,0,0,1,2,0
4,2,1,1,30,971,24,37808,726,4465,0.12789026528073966,0,0,1,10,0
3,2,0,1,39,1135,15,48565,665,3573,0.2110768968747221,0,0,1,13,0
1,0,0,0,21,2873,8,75849,671,4840,0.1877452334125323,0,0,0,0,0
1,2,0,1,35,2457,8,75556,629,4566,0.1567492077957055,0,0,1,1,0
2,2,1,1,2,2739,0,32180,596,2622,0.14797654347268246,0,0,0,9,0
8,10,0,5,42,2321,12,134083,670,6323,0.12559090374270213,1,1,1,12,1
1,1,0,2,13,1578,11,64359,505,2025,0.15176217858785807,0,0,1,0,0
1,0,0,0,26,870,1,60426,533,1255,0.15515469388840325,0,0,1,6,0
3,1,0,1,11,2573,0,57256,640,2140,0.13992594038121264,0,0,1,12,0
1,0,0,0,8,2170,0,70671,708,2089,0.16793477160751658,1,0,1,3,0
2,0,0,1,18,1756,21,98514,670,4117,0.2189261701704911,1,0,1,1,0
3,0,1,2,39,2271,6,38866,684,1161,0.1307728535096701,0,0,0,2,0
1,1,1,1,12,2729,16,70304,544,5455,0.09878965786074813,1,0,1,1,0
3,0,0,2,30,1352,24,86368,634,2079,0.15329324448123383,0,0,1,10,0
5,4,1,3,15,1800,15,138854,698,6208,0.17853305199857575,1,0,1,15,1
1,0,0,1,37,2506,22,59975,652,3372,0.09276034591831937,0,0,1,4,0
2,4,2,0,28,2057,24,94699,535,4298,0.11185393502570842,0,0,1,1,0
3,1,0,0,38,1440,12,54912,570,4952,0.11536399359155453,0,0,1,1,0
1,0,1,1,9,3375,14,68825,683,5394,0.2123018221305572,0,0,1,10,0
1,0,1,0,5,1653,6,93929,698,2945,0.159513861913877,0,0,1,4,0
3,2,0,0,35,2824,4,35720,683,2897,0.20675728100363056,0,0,1,9,0
1,0,0,2,25,2355,13,37076,606,5935,0.21376478102963836,0,0,1,4,0
1,0,0,0,1,828,15,43998,638,2380,0.18042101206127822,0,0,1,7,0
2,1,0,1,32,3112,2,75575,640,5203,0.12963285258031187,1,0,0,9,0
1,1,0,0,21,3168,3,33956,689,3955,0.08350737393839577,1,0,1,0,0
1,2,0,1,2,3242,24,84330,728,5784,0.16980863375077143,0,1,0,4,0
8,1,2,0,29,3066,24,57063,739,4111,0.12812161091376856,0,0,1,5,0
0,0,0,3,15,2708,0,76461,746,1535,0.18687671531015426,0,0,0,2,0
3,3,0,1,39,836,12,68529,531,4311,0.18764176448251893,0,0,1,5,0
5,4,0,0,20,2973,12,39993,508,1037,0.09530786609251778,0,0,0,5,0
1,2,1,1,13,3104,14,65149,538,5600,0.20921139856879584,0,0,1,3,0
4,1,1,0,38,1053,3,69665,681,4333,0.17888834342461607,0,0,1,10,0
2,1,0,1,32,2868,22,50222,728,3315,0.14719219569353414,1,0,1,10,0
0,1,0,1,5,2523,7,90741,719,4877,0.11034486235501967,0,0,1,0,0
2,1,0,3,18,2284,12,60012,588,3546,0.08800479260083664,0,0,0,11,0
1,2,0,1,25,2614,11,88736,536,2471,0.1524662646154621,0,0,1,4,0
1,1,2,0,28,1840,9,48451,523,2339,0.14910719639961578,0,0,1,12,0
3,5,4,4,36,1659,29,79462,831,5917,0.12715360281640775,1,0,1,16,1
2,0,0,1,5,2857,9,38240,635,5508,0.10979112887602882,0,0,0,14,0
0,0,2,0,28,1988,1,59796,596,5188,0.14527838270516918,1,0,0,9,0
2,2,0,0,4,1928,21,94451,746,1505,0.15690559366168316,0,0,1,14,0
2,2,0,2,11,928,16,42194,562,3594,0.13897634969730244,0,0,1,7,0
3,2,1,2,14,1909,12,52989,553,1579,0.08689404945611523,0,0,1,12,0
1,1,2,1,3,2881,7,62629,674,4091,0.14380508790036284,0,0,1,13,0
8,6,6,6,27,2081,17,126899,701,5292,0.2313498390872305,1,0,1,17,1
1,0,0,0,5,2221,16,68260,723,2404,0.09813708199535097,0,0,1,12,0
2,2,1,1,32,1673,6,78380,595,1301,0.19642654767688167,0,0,1,10,0
1,1,0,0,30,1888,16,51103,602,1466,0.13767800771977792,1,0,1,8,0
5,0,1,0,15,2471,17,56407,631,1875,0.2108396092681627,0,1,1,2,0
1,1,0,2,0,3041,15,57254,719,4427,0.16758159495379482,0,0,1,5,0
1,1,0,0,32,2943,24,44073,604,1210,0.13890467833056908,0,0,1,0,0
1,2,0,2,12,2104,21,91995,724,2077,0.09663728043038843,1,0,0,3,0
2,0,2,1,18,1668,21,94075,572,1910,0.12644449915694506,1,0,1,14,0
1,1,1,2,1,2658,0,83768,731,2303,0.10213641440665396,0,0,1,3,0
2,0,0,0,8,818,11,73276,631,5224,0.1858076899470117,0,0,1,12,0
1,0,0,2,8,3111,11,88325,508,4954,0.09862520929808619,0,0,0,12,0
2,2,0,0,17,1732,19,92499,707,1003,0.17977895644268338,0,0,1,12,0
0,1,1,1,3,990,0,87766,627,5955,0.21416244553915476,1,0,1,7,0
1,3,0,4,11,3044,2,90870,701,5874,0.13378940900107256,0,0,0,11,0
2,2,0,1,7,2693,10,54857,698,4751,0.13114097369757163,0,0,1,7,0
1,3,2,1,16,2368,5,38253,748,5777,0.1180022676333565,0,0,1,12,0
1,0,1,0,9,1752,7,74574,690,2822,0.17800871826997455,0,0,1,14,0
1,2,1,1,25,1161,16,40265,640,5310,0.08731297622799215,0,0,0,14,0
1,1,2,1,13,2636,21,38025,618,3201,0.09234106380089664,1,0,1,0,0
3,2,2,3,2,1327,3,90694,721,5197,0.11521140549625851,0,0,1,0,0
0,1,1,1,37,2297,0,62730,700,5209,0.08188455019304175,0,0,1,5,0
3,0,0,1,2,1108,9,67399,611,1416,0.15046781721157804,0,0,1,3,0
10,7,3,3,23,3217,26,79456,693,5786,0.2179854291556406,0,0,1,14,1
0,0,0,1,13,2070,8,82234,534,2366,0.13970795684532955,0,0,1,6,0
2,0,0,1,13,3424,20,59414,743,1743,0.21783297533477314,1,0,1,9,0
1,3,1,1,32,2075,18,75880,556,1024,0.20629349639995898,0,0,1,7,0
3,1,0,2,36,2297,23,97653,712,2606,0.13138905668400583,0,0,1,12,0
3,3,0,0,2,1733,24,49793,719,3630,0.13232880664297794,0,0,1,2,0
0,3,0,0,7,3363,7,32861,712,2968,0.12399372177785434,0,0,1,3,0
0,0,1,0,1,937,0,57538,646,1639,0.10846669902843542,0,0,1,14,0
1,2,1,1,16,3445,14,86244,521,5593,0.137708781106461,1,0,1,8,0
2,2,0,1,16,3335,0,82371,522,5877,0.2115878008661587,0,0,0,3,0
8,7,4,3,15,2911,26,101971,842,3563,0.12530836089589822,1,1,1,9,1
4,2,0,2,25,1430,3,86289,529,1820,0.17603886742638564,0,0,1,10,0
1,0,1,3,33,1159,0,92674,677,1558,0.15318050383568776,0,0,1,9,0
3,0,0,0,14,3033,7,31628,521,3007,0.18901168139118896,0,0,1,12,0
2,0,1,3,33,1934,8,78315,540,2352,0.20069661987057746,0,0,1,2,0
1,0,0,0,20,963,3,39876,613,3036,0.11419138728858111,0,0,0,1,0
3,3,0,1,12,1158,2,79221,609,4912,0.09956547856344325,0,0,1,0,0
3,1,0,0,18,2565,2,91205,512,5750,0.21810937576796707,0,0,1,10,0
1,1,0,2,8,2616,5,73928,672,1813,0.19432040132105038,0,0,1,2,0
0,1,0,2,25,922,20,70141,563,1939,0.1648409244864621,0,0,1,8,0
2,2,0,1,29,2636,15,30059,620,3825,0.16813170323760096,0,0,1,9,0
4,2,1,1,34,1324,10,32903,580,1322,0.21049758505139715,0,0,1,8,0
1,1,0,0,38,2643,3,48236,702,3241,0.12773564559153558,0,0,1,4,0
0,2,0,1,26,3409,8,34474,713,3150,0.12267705907744997,0,0,1,13,0
4,3,3,1,3,2681,16,84816,566,5080,0.15865454234031223,0,0,0,4,0
